Alpha,2.0,2.0,1.0,1.0,0.5,0.5,0.25,0.25,0.125,0.125,0.0625
Chain,1.25,1.125,0.8125,0.8125,0.375,0.625,0.125,0.25,0.0,0.375,0.125
Open Addressing, 0.0, 0.125, 1.875, 2.3125, 0.6875, 0.375, 0.1875, 0.375, 0.0625, 0.0625, 0.0
