Alpha,2.0,2.0,1.0,1.0,0.5,0.5,0.25,0.25,0.125,0.125,0.0625
Chain,1.8125,1.75,0.9375,0.8125,0.375,0.4375,0.125,0.25,0.125,0.25,0.0
Open Addressing, -0.125, -0.1875, 2.625, 1.5625, 0.375, 0.4375, 0.0, 0.125, 0.125, 0.0625, 0.0
